matchNumber,stage,group,home,away,localDate,localTime,venue,city,country,venueTimeZone,utc
"31","Group D","D","Turkiye","Paraguay","2026-06-19","20:00","Levi's Stadium","San Francisco Bay Area","United States","America/Los_Angeles","2026-06-20T03:00:00.000Z"
"32","Group D","D","United States","Australia","2026-06-19","12:00","Lumen Field","Seattle","United States","America/Los_Angeles","2026-06-19T19:00:00.000Z"
"33","Group E","E","Germany","Ivory Coast","2026-06-20","16:00","BMO Field","Toronto","Canada","America/Toronto","2026-06-20T20:00:00.000Z"
"34","Group E","E","Ecuador","Curacao","2026-06-20","19:00","Arrowhead Stadium","Kansas City","United States","America/Chicago","2026-06-21T00:00:00.000Z"
"35","Group F","F","Netherlands","Sweden","2026-06-20","12:00","NRG Stadium","Houston","United States","America/Chicago","2026-06-20T17:00:00.000Z"
"36","Group F","F","Tunisia","Japan","2026-06-20","22:00","Estadio BBVA","Monterrey","Mexico","America/Mexico_City","2026-06-21T04:00:00.000Z"
"37","Group H","H","Uruguay","Cape Verde","2026-06-21","18:00","Hard Rock Stadium","Miami","United States","America/New_York","2026-06-21T22:00:00.000Z"
"38","Group H","H","Spain","Saudi Arabia","2026-06-21","12:00","Mercedes-Benz Stadium","Atlanta","United States","America/New_York","2026-06-21T16:00:00.000Z"
"39","Group G","G","Belgium","Iran","2026-06-21","12:00","SoFi Stadium","Los Angeles","United States","America/Los_Angeles","2026-06-21T19:00:00.000Z"
"40","Group G","G","New Zealand","Egypt","2026-06-21","18:00","BC Place","Vancouver","Canada","America/Vancouver","2026-06-22T01:00:00.000Z"
"41","Group I","I","Norway","Senegal","2026-06-22","20:00","MetLife Stadium","New York / New Jersey","United States","America/New_York","2026-06-23T00:00:00.000Z"
"42","Group I","I","France","Iraq","2026-06-22","17:00","Lincoln Financial Field","Philadelphia","United States","America/New_York","2026-06-22T21:00:00.000Z"
"43","Group J","J","Argentina","Austria","2026-06-22","12:00","AT&T Stadium","Dallas","United States","America/Chicago","2026-06-22T17:00:00.000Z"
"44","Group J","J","Jordan","Algeria","2026-06-22","20:00","Levi's Stadium","San Francisco Bay Area","United States","America/Los_Angeles","2026-06-23T03:00:00.000Z"
"45","Group L","L","England","Ghana","2026-06-23","16:00","Gillette Stadium","Boston","United States","America/New_York","2026-06-23T20:00:00.000Z"
"46","Group L","L","Panama","Croatia","2026-06-23","19:00","BMO Field","Toronto","Canada","America/Toronto","2026-06-23T23:00:00.000Z"
"47","Group K","K","Portugal","Uzbekistan","2026-06-23","12:00","NRG Stadium","Houston","United States","America/Chicago","2026-06-23T17:00:00.000Z"
"48","Group K","K","Colombia","DR Congo","2026-06-23","20:00","Estadio Akron","Guadalajara","Mexico","America/Mexico_City","2026-06-24T02:00:00.000Z"
"49","Group C","C","Scotland","Brazil","2026-06-24","18:00","Hard Rock Stadium","Miami","United States","America/New_York","2026-06-24T22:00:00.000Z"
"50","Group C","C","Morocco","Haiti","2026-06-24","18:00","Mercedes-Benz Stadium","Atlanta","United States","America/New_York","2026-06-24T22:00:00.000Z"
"51","Group B","B","Switzerland","Canada","2026-06-24","12:00","BC Place","Vancouver","Canada","America/Vancouver","2026-06-24T19:00:00.000Z"
"52","Group B","B","Bosnia and Herzegovina","Qatar","2026-06-24","12:00","Lumen Field","Seattle","United States","America/Los_Angeles","2026-06-24T19:00:00.000Z"
"53","Group A","A","Czechia","Mexico","2026-06-24","19:00","Estadio Azteca","Mexico City","Mexico","America/Mexico_City","2026-06-25T01:00:00.000Z"
"54","Group A","A","South Africa","Korea Republic","2026-06-24","19:00","Estadio BBVA","Monterrey","Mexico","America/Mexico_City","2026-06-25T01:00:00.000Z"
"55","Group E","E","Curacao","Ivory Coast","2026-06-25","16:00","Lincoln Financial Field","Philadelphia","United States","America/New_York","2026-06-25T20:00:00.000Z"
"56","Group E","E","Ecuador","Germany","2026-06-25","16:00","MetLife Stadium","New York / New Jersey","United States","America/New_York","2026-06-25T20:00:00.000Z"
"57","Group F","F","Japan","Sweden","2026-06-25","18:00","AT&T Stadium","Dallas","United States","America/Chicago","2026-06-25T23:00:00.000Z"
"58","Group F","F","Tunisia","Netherlands","2026-06-25","18:00","Arrowhead Stadium","Kansas City","United States","America/Chicago","2026-06-25T23:00:00.000Z"
"59","Group D","D","Turkiye","United States","2026-06-25","19:00","SoFi Stadium","Los Angeles","United States","America/Los_Angeles","2026-06-26T02:00:00.000Z"
"60","Group D","D","Paraguay","Australia","2026-06-25","19:00","Levi's Stadium","San Francisco Bay Area","United States","America/Los_Angeles","2026-06-26T02:00:00.000Z"
"61","Group I","I","Norway","France","2026-06-26","15:00","Gillette Stadium","Boston","United States","America/New_York","2026-06-26T19:00:00.000Z"
"62","Group I","I","Senegal","Iraq","2026-06-26","15:00","BMO Field","Toronto","Canada","America/Toronto","2026-06-26T19:00:00.000Z"
"63","Group G","G","Egypt","Iran","2026-06-26","20:00","Lumen Field","Seattle","United States","America/Los_Angeles","2026-06-27T03:00:00.000Z"
"64","Group G","G","New Zealand","Belgium","2026-06-26","20:00","BC Place","Vancouver","Canada","America/Vancouver","2026-06-27T03:00:00.000Z"
"65","Group H","H","Cape Verde","Saudi Arabia","2026-06-26","19:00","NRG Stadium","Houston","United States","America/Chicago","2026-06-27T00:00:00.000Z"
"66","Group H","H","Uruguay","Spain","2026-06-26","18:00","Estadio Akron","Guadalajara","Mexico","America/Mexico_City","2026-06-27T00:00:00.000Z"
"67","Group L","L","Panama","England","2026-06-27","17:00","MetLife Stadium","New York / New Jersey","United States","America/New_York","2026-06-27T21:00:00.000Z"
"68","Group L","L","Croatia","Ghana","2026-06-27","17:00","Lincoln Financial Field","Philadelphia","United States","America/New_York","2026-06-27T21:00:00.000Z"
"69","Group J","J","Algeria","Austria","2026-06-27","21:00","Arrowhead Stadium","Kansas City","United States","America/Chicago","2026-06-28T02:00:00.000Z"
"70","Group J","J","Jordan","Argentina","2026-06-27","21:00","AT&T Stadium","Dallas","United States","America/Chicago","2026-06-28T02:00:00.000Z"
"71","Group K","K","Colombia","Portugal","2026-06-27","19:30","Hard Rock Stadium","Miami","United States","America/New_York","2026-06-27T23:30:00.000Z"
"72","Group K","K","DR Congo","Uzbekistan","2026-06-27","19:30","Mercedes-Benz Stadium","Atlanta","United States","America/New_York","2026-06-27T23:30:00.000Z"
